Agencia,Produto,Sentido,Volume,Data_chegada,Porto
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,Imp,5000,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,26000,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,Imp,5000,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,32000,14/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,Exp,35000,14/09/2025,Santos
WILHELMSEN PORT SERVICES BRASIL LTDA,GRAN.LIQUIDO NAO ESPECIF,Imp,17500,14/09/2025,Santos
ORION OPERACOES PORTUARIAS LTDA,ETHANOL,Exp,2400,14/09/2025 05:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,62000,14/09/2025 14:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GASOLINA COMUM,Exp,25000,14/09/2025 14:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,30000,15/09/2025,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,Imp,8160,15/09/2025 06:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,Exp,45000,16/09/2025,Santos
ORION OPERACOES PORTUARIAS LTDA,SODA CAUSTICA,Imp,2635,16/09/2025 01:00:00,Santos
WILHELMSEN PORT SERVICES BRASIL LTDA,GRAN.LIQUIDO NAO ESPECIF,Imp,15000,17/09/2025,Santos
UNIMAR AGENCIAMENTOS MARITIMOS LTDA,GRAN.LIQUIDO NAO ESPECIF,Exp,23352,17/09/2025,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,Imp,7200,18/09/2025 07:00:00,Santos
NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,OLEO DIESEL,Imp,57858,19/09/2025 13:00:00,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,Imp,16321,20/09/2025 07:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,Exp,30000,22/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,Imp,18000,23/09/2025,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,Imp,4045,24/09/2025 06:00:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,TRIGO A GRANEL,Imp,33000,25/08/2025 20:36:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,65000,23/08/2025 18:24:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,Exp,65800,28/08/2025 01:30:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,SOJA A GRANEL,Exp,65000,29/08/2025 00:06:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,PELLETS A GRANEL,Exp,68500,29/08/2025 23:42:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,Exp,70804,02/09/2025 11:20:00,Santos
FERTIMPORT S/A.,SOJA A GRANEL,Exp,66000,07/09/2025 00:12:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,80000,08/09/2025 09:25:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,68520,09/09/2025 15:00:00,Santos
FERTIMPORT S/A.,MILHO A GRANEL,Exp,71500,09/09/2025 17:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,SOJA A GRANEL,Exp,70759,10/09/2025 08:10:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,70000,10/09/2025 13:48:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,Exp,66000,11/09/2025 00:42:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,Exp,65000,11/09/2025 10:12:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,65000,11/09/2025 16:30:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,21850,12/09/2025 05:05:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,Exp,67500,14/09/2025,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,Exp,70510,14/09/2025,Santos
ROCHAMAR AGENCIA MARITIMA S/A,SOJA A GRANEL,Exp,63000,14/09/2025,Santos
WAYPOINT AGENCIA MARITIMA LTDA,SOJA A GRANEL,Exp,55000,14/09/2025,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,Exp,67500,14/09/2025,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,Exp,70450,14/09/2025,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,65000,14/09/2025,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,68500,14/09/2025 08:12:00,Santos
FERTIMPORT S/A.,SOJA A GRANEL,Exp,66000,14/09/2025 13:30:00,Santos
WAYPOINT AGENCIA MARITIMA LTDA,MILHO A GRANEL,Exp,58721,15/09/2025 05:00:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,PELLETS A GRANEL,Exp,63000,15/09/2025 08:00:00,Santos
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",SOJA A GRANEL,Exp,69000,15/09/2025 10:00:00,Santos
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",SOJA A GRANEL,Exp,67250,16/09/2025 10:00:00,Santos
WAYPOINT AGENCIA MARITIMA LTDA,PELLETS A GRANEL,Exp,55000,18/09/2025 05:00:00,Santos
FERTIMPORT S/A.,MILHO A GRANEL,Exp,71500,19/09/2025 08:00:00,Santos
WORLD SHIPPING AGENCIAMENTOS LTDA,FERTILIZANTES,Imp,30800,27/08/2025 14:30:00,Santos
JBG - AGENCIAMENTOS MARITIMOS E TRANSPORTES LTDA,FERTILIZANTES,Imp,77390,04/09/2025 08:00:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,FERTILIZANTES,Exp,8000,05/09/2025 01:30:00,Santos
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,Imp,32500,07/09/2025 23:00:00,Santos
ROCHAMAR AGENCIA MARITIMA S/A,FERTILIZANTES,Imp,23243,09/09/2025 01:36:00,Santos
ROCHAMAR AGENCIA MARITIMA S/A,FERTILIZANTES,Imp,49500,12/09/2025 06:30:00,Santos
ORION OPERACOES PORTUARIAS LTDA,SAL A GRANEL,Imp,50050,14/09/2025 02:00:00,Santos
WORLD SHIPPING AGENCIAMENTOS LTDA,FERTILIZANTES,Imp,51867,14/09/2025 13:00:00,Santos
FERTIMPORT S/A.,FERTILIZANTES,Imp,76895,14/09/2025 17:00:00,Santos
WORLD SHIPPING AGENCIAMENTOS LTDA,FERTILIZANTES,Imp,42130,16/09/2025 09:00:00,Santos
ROCHAMAR AGENCIA MARITIMA S/A,FERTILIZANTES,Imp,77600,16/09/2025 10:00:00,Santos
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",FERTILIZANTES,Imp,22104,17/09/2025,Santos
GEM SHIPPING LTDA,GRAN.SOLIDO NAO ESPECIF,Imp,30524,17/09/2025 10:00:00,Santos
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",FERTILIZANTES,Imp,10000,17/09/2025 13:00:00,Santos
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,Imp,28700,20/09/2025 05:00:00,Santos
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,Imp,55062,22/09/2025 05:00:00,Santos
ORION OPERACOES PORTUARIAS LTDA,FERTILIZANTES,Imp,49347,23/09/2025 05:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,Exp,46140,23/08/2025 06:30:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,FERTILIZANTES,Exp,23650,28/08/2025 08:24:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,ACUCAR A GRANEL,Exp,53000,31/08/2025 09:00:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,ACUCAR A GRANEL,Exp,54500,08/09/2025 17:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,Exp,60000,12/09/2025 16:06:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,Exp,20000,14/09/2025,Santos
WAYPOINT AGENCIA MARITIMA LTDA,ACUCAR A GRANEL,Exp,60000,15/09/2025,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,Exp,80000,15/09/2025 07:00:00,Santos
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",ACUCAR A GRANEL,Exp,70914,16/09/2025 05:00:00,Santos
UNIMAR AGENCIAMENTOS MARITIMOS LTDA,ACUCAR A GRANEL,Exp,59995,19/09/2025,Santos
WAYPOINT AGENCIA MARITIMA LTDA,ACUCAR A GRANEL,Exp,50400,20/09/2025 08:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,Exp,75000,21/09/2025 07:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,Exp,58890,22/09/2025 07:00:00,Santos
ORION OPERACOES PORTUARIAS LTDA,ACUCAR A GRANEL,Exp,75000,24/09/2025 13:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,Exp,45975,26/09/2025 07:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ACUCAR A GRANEL,Exp,70000,29/09/2025,Santos
ORION OPERACOES PORTUARIAS LTDA,PRODUTOS QUIMICOS,Imp,6210,14/09/2025 05:00:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,FERTILIZANTES,Imp,24900,05/09/2025 01:30:00,Santos
